epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.783,1.69091,3.23069,1.78612,0.48282,0.28118,0.35065,0.22965,1.80634,2.78631,1.90226,0.000302275,0.000302275,0.000302275
2,348.653,1.69126,2.71582,1.7684,0.39621,0.38249,0.29921,0.18728,1.94049,2.94175,2.09427,0.000593291,0.000593291,0.000593291
3,520.951,1.69836,2.5641,1.77646,0.49213,0.33318,0.33243,0.22292,1.98883,3.05943,2.14639,0.000872307,0.000872307,0.000872307
4,693.993,1.66906,2.48536,1.7553,0.47511,0.44164,0.4368,0.28736,1.83051,2.44323,1.91301,0.000855005,0.000855005,0.000855005
5,868.927,1.64309,2.36341,1.72895,0.47831,0.45196,0.44634,0.30937,1.81093,2.45527,1.90133,0.000837007,0.000837007,0.000837007
6,1037.77,1.60753,2.28452,1.70461,0.50574,0.47619,0.46064,0.32972,1.79916,2.31629,1.89632,0.000819009,0.000819009,0.000819009
7,1204.44,1.59352,2.23882,1.68242,0.53807,0.487,0.48199,0.33825,1.72785,2.22529,1.78101,0.000801011,0.000801011,0.000801011
8,1371.51,1.56355,2.17531,1.65776,0.57834,0.51251,0.52898,0.37817,1.69054,2.07768,1.79377,0.000783013,0.000783013,0.000783013
9,1539.19,1.53734,2.12964,1.6498,0.59496,0.50267,0.5192,0.37267,1.68698,2.10849,1.78334,0.000765014,0.000765014,0.000765014
10,1703.55,1.53675,2.08414,1.64566,0.61284,0.52389,0.54162,0.38893,1.67351,2.04673,1.75059,0.000747016,0.000747016,0.000747016
11,1869.62,1.51961,2.05857,1.62936,0.63998,0.53041,0.5446,0.39769,1.66125,1.9931,1.74301,0.000729018,0.000729018,0.000729018
12,2037.47,1.50099,2.01804,1.60442,0.61796,0.53262,0.55269,0.39386,1.64677,2.01183,1.72149,0.00071102,0.00071102,0.00071102
13,2204.8,1.50488,2.00873,1.61284,0.62159,0.55315,0.56757,0.41432,1.62909,1.94016,1.69872,0.000693022,0.000693022,0.000693022
14,2371.8,1.47818,1.9547,1.58852,0.68355,0.53368,0.58011,0.42624,1.62233,1.85618,1.69092,0.000675023,0.000675023,0.000675023
15,2539.01,1.46903,1.92939,1.58702,0.62504,0.54004,0.56089,0.40594,1.61762,1.93797,1.68743,0.000657025,0.000657025,0.000657025
16,2706.64,1.46541,1.90716,1.57502,0.65023,0.54443,0.59034,0.43631,1.58891,1.84931,1.68047,0.000639027,0.000639027,0.000639027
17,2873.56,1.45342,1.88808,1.57245,0.64534,0.56051,0.57769,0.4231,1.59104,1.86517,1.64994,0.000621029,0.000621029,0.000621029
18,3040.29,1.43411,1.84398,1.55061,0.65001,0.57027,0.60007,0.44918,1.57057,1.79889,1.64501,0.000603031,0.000603031,0.000603031
19,3206.93,1.43268,1.82898,1.55347,0.65244,0.58263,0.60133,0.44477,1.58457,1.8155,1.65324,0.000585032,0.000585032,0.000585032
20,3373.82,1.42702,1.79516,1.53339,0.68524,0.56205,0.59784,0.44506,1.56589,1.81093,1.63132,0.000567034,0.000567034,0.000567034
21,3540.35,1.42872,1.80206,1.53635,0.63947,0.58313,0.61057,0.46018,1.54164,1.7346,1.6139,0.000549036,0.000549036,0.000549036
22,3706.74,1.40783,1.78321,1.52979,0.66414,0.58271,0.61481,0.45771,1.55519,1.71923,1.61184,0.000531038,0.000531038,0.000531038
23,3874.01,1.40522,1.75688,1.51631,0.66724,0.57484,0.61259,0.4598,1.54085,1.73499,1.5916,0.00051304,0.00051304,0.00051304
24,4041.01,1.38779,1.71494,1.51283,0.65143,0.57198,0.60957,0.45581,1.5457,1.74698,1.61686,0.000495041,0.000495041,0.000495041
25,4208.07,1.38684,1.71214,1.50602,0.70121,0.59148,0.62974,0.47286,1.53154,1.69034,1.6104,0.000477043,0.000477043,0.000477043
26,4374.6,1.38947,1.7072,1.50828,0.6896,0.60835,0.63555,0.47728,1.53216,1.65794,1.59871,0.000459045,0.000459045,0.000459045
27,4541.62,1.37109,1.66411,1.48963,0.71634,0.58967,0.64068,0.48541,1.50794,1.66807,1.59189,0.000441047,0.000441047,0.000441047
28,4708.32,1.36137,1.6521,1.48929,0.6799,0.6048,0.64108,0.48545,1.53181,1.64294,1.58837,0.000423049,0.000423049,0.000423049
29,4874.37,1.34897,1.62237,1.47018,0.68457,0.61249,0.64166,0.48755,1.51065,1.64242,1.5735,0.00040505,0.00040505,0.00040505
30,5041.41,1.346,1.60515,1.47197,0.6912,0.61327,0.64057,0.48563,1.50531,1.65157,1.57315,0.000387052,0.000387052,0.000387052
31,5208.4,1.34241,1.59426,1.46622,0.72792,0.5907,0.64452,0.48916,1.50177,1.62684,1.5651,0.000369054,0.000369054,0.000369054
32,5375.98,1.33934,1.58899,1.46556,0.70538,0.61268,0.65071,0.49609,1.49117,1.60067,1.57336,0.000351056,0.000351056,0.000351056
