epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.186,1.42103,2.64936,1.6072,0.37455,0.42283,0.37706,0.24521,1.73844,2.46817,2.01689,0.000333005,0.000333005,0.000333005
2,746.067,1.46066,2.2463,1.64867,0.45361,0.4469,0.44622,0.28694,1.64883,2.12804,1.88588,0.000653145,0.000653145,0.000653145
3,1108.37,1.45289,2.21581,1.65476,0.464,0.4797,0.46491,0.31306,1.54934,2.10674,1.82809,0.000960085,0.000960085,0.000960085
4,1469.5,1.41197,2.13726,1.62748,0.57551,0.47374,0.51805,0.34349,1.5346,1.92982,1.81579,0.0009406,0.0009406,0.0009406
5,1830.61,1.36233,2.01595,1.58548,0.54324,0.50564,0.52155,0.36836,1.47638,1.91252,1.75118,0.0009208,0.0009208,0.0009208
6,2191.79,1.31286,1.91894,1.55,0.51445,0.51871,0.52429,0.37149,1.47058,1.89832,1.74452,0.000901,0.000901,0.000901
7,2554.1,1.28278,1.85345,1.52894,0.55636,0.56454,0.5693,0.41207,1.36938,1.73564,1.60727,0.0008812,0.0008812,0.0008812
8,2915.88,1.27128,1.79968,1.50188,0.56815,0.57574,0.58414,0.42779,1.36176,1.71419,1.62293,0.0008614,0.0008614,0.0008614
9,3276.94,1.23822,1.75054,1.48388,0.56302,0.60707,0.59492,0.42229,1.34834,1.62862,1.60464,0.0008416,0.0008416,0.0008416
10,3638.12,1.21283,1.68205,1.4639,0.5967,0.58061,0.59677,0.43727,1.26926,1.58628,1.54136,0.0008218,0.0008218,0.0008218
11,3999.69,1.1996,1.64417,1.45206,0.59299,0.58269,0.58968,0.43007,1.29772,1.62855,1.55453,0.000802,0.000802,0.000802
12,4360.64,1.17911,1.60442,1.43413,0.63192,0.59888,0.62527,0.46912,1.25412,1.5033,1.51738,0.0007822,0.0007822,0.0007822
13,4722.57,1.17144,1.5862,1.42591,0.64742,0.60516,0.62482,0.46952,1.27399,1.50604,1.5362,0.0007624,0.0007624,0.0007624
14,5083.79,1.15948,1.54685,1.41497,0.67737,0.61021,0.63935,0.48055,1.23988,1.48793,1.49781,0.0007426,0.0007426,0.0007426
15,5444.51,1.13792,1.51309,1.40501,0.62747,0.60318,0.62771,0.47644,1.27111,1.49139,1.52778,0.0007228,0.0007228,0.0007228
16,5806.32,1.13096,1.48956,1.39029,0.65931,0.60335,0.6485,0.49481,1.23263,1.42904,1.48544,0.000703,0.000703,0.000703
17,6167.65,1.1198,1.45237,1.38536,0.68184,0.62679,0.64813,0.49355,1.22889,1.43859,1.49657,0.0006832,0.0006832,0.0006832
18,6528.95,1.10808,1.42713,1.36898,0.66811,0.62512,0.63952,0.49121,1.23176,1.4318,1.48128,0.0006634,0.0006634,0.0006634
19,6889.94,1.10021,1.4124,1.36092,0.66801,0.63192,0.66035,0.50045,1.21548,1.40139,1.47987,0.0006436,0.0006436,0.0006436
20,7250.51,1.08268,1.3724,1.359,0.68889,0.65591,0.66941,0.50592,1.20472,1.35483,1.45758,0.0006238,0.0006238,0.0006238
21,7611.83,1.07177,1.35973,1.3471,0.66142,0.65443,0.66099,0.51117,1.18297,1.34747,1.43283,0.000604,0.000604,0.000604
22,7972.78,1.06057,1.31902,1.33745,0.68629,0.6419,0.66535,0.51308,1.18601,1.35543,1.44328,0.0005842,0.0005842,0.0005842
23,8334.3,1.05457,1.30892,1.32671,0.69879,0.63278,0.67022,0.51412,1.20525,1.33719,1.46559,0.0005644,0.0005644,0.0005644
24,8695.53,1.05248,1.28445,1.32348,0.69562,0.66736,0.67267,0.51686,1.17797,1.31372,1.42481,0.0005446,0.0005446,0.0005446
25,9056.86,1.03234,1.24932,1.30892,0.66947,0.65275,0.67368,0.53013,1.15013,1.30425,1.40653,0.0005248,0.0005248,0.0005248
26,9417.82,1.02161,1.22787,1.30361,0.69474,0.66547,0.68953,0.53478,1.15158,1.28672,1.41131,0.000505,0.000505,0.000505
27,9780.04,1.01407,1.20995,1.29638,0.68071,0.67737,0.68553,0.5338,1.17085,1.31117,1.43549,0.0004852,0.0004852,0.0004852
28,10140.9,1.00711,1.18626,1.28614,0.6998,0.64571,0.68571,0.53659,1.16853,1.29447,1.41983,0.0004654,0.0004654,0.0004654
29,10502.6,1.00214,1.17317,1.28336,0.69659,0.65442,0.69278,0.54135,1.1512,1.26832,1.40536,0.0004456,0.0004456,0.0004456
30,10864.2,0.99427,1.14998,1.27289,0.69709,0.66329,0.69414,0.54366,1.16869,1.27359,1.41842,0.0004258,0.0004258,0.0004258
31,11225.9,0.97607,1.1168,1.26252,0.74559,0.66707,0.70073,0.54048,1.16008,1.27084,1.41984,0.000406,0.000406,0.000406
32,11586.6,0.97347,1.09802,1.26118,0.74366,0.66408,0.69988,0.54187,1.16557,1.25653,1.40672,0.0003862,0.0003862,0.0003862
33,11947.7,0.96866,1.08707,1.25572,0.68733,0.68718,0.69976,0.54118,1.15907,1.24382,1.41042,0.0003664,0.0003664,0.0003664
34,12309.5,0.95609,1.05634,1.24486,0.7033,0.6657,0.69833,0.54405,1.15882,1.23652,1.40593,0.0003466,0.0003466,0.0003466
35,12672.8,0.94412,1.03621,1.23404,0.72551,0.66116,0.69528,0.54324,1.16314,1.24495,1.40734,0.0003268,0.0003268,0.0003268
36,13035.8,0.93936,1.02738,1.22918,0.74182,0.65993,0.69995,0.54384,1.17384,1.24387,1.40846,0.000307,0.000307,0.000307
37,13399.5,0.93736,1.01293,1.22692,0.73584,0.66844,0.70517,0.54804,1.15822,1.23451,1.41538,0.0002872,0.0002872,0.0002872
38,13763.2,0.92205,0.9916,1.21786,0.74448,0.65849,0.70463,0.55367,1.14641,1.2096,1.39337,0.0002674,0.0002674,0.0002674
39,14126.3,0.91841,0.96401,1.20972,0.74719,0.66464,0.70335,0.55204,1.15473,1.23975,1.41064,0.0002476,0.0002476,0.0002476
40,14489.8,0.91418,0.9658,1.20886,0.72011,0.69065,0.71476,0.5615,1.15546,1.2016,1.40065,0.0002278,0.0002278,0.0002278
41,14876.5,0.90193,0.85872,1.233,0.73169,0.68662,0.71577,0.5575,1.1456,1.20537,1.39735,0.000208,0.000208,0.000208
42,15239,0.88294,0.81084,1.21719,0.73244,0.69425,0.71858,0.56282,1.14383,1.21052,1.39978,0.0001882,0.0001882,0.0001882
43,15587.7,0.86697,0.78425,1.20686,0.7409,0.69273,0.72005,0.56422,1.14869,1.19616,1.39823,0.0001684,0.0001684,0.0001684
44,15933.1,0.85215,0.75896,1.19466,0.76844,0.67813,0.72103,0.56906,1.16018,1.20208,1.40906,0.0001486,0.0001486,0.0001486
