epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1056.9,1.55664,3.03506,1.71722,0.35135,0.29743,0.26042,0.1822,1.41041,12.203,1.57375,0.00333206,0.00333206,0.00333206
2,2087.79,1.48303,2.49927,1.65338,0.40114,0.32128,0.29715,0.19993,1.42553,8.17226,1.54771,0.00653342,0.00653342,0.00653342
3,3104.47,1.5834,2.66168,1.75064,0.34429,0.28855,0.24445,0.15732,1.5002,9.73356,1.65221,0.00960278,0.00960278,0.00960278
4,4122.61,1.62799,2.76382,1.80856,0.37691,0.30479,0.26368,0.16788,1.49008,8.58416,1.65608,0.009406,0.009406,0.009406
5,5140.82,1.55811,2.60103,1.75033,0.41447,0.33243,0.31889,0.21435,1.39771,10.6502,1.56123,0.009208,0.009208,0.009208
6,6161.09,1.51365,2.50151,1.71341,0.46797,0.34148,0.34364,0.23288,1.34565,8.55689,1.5186,0.00901,0.00901,0.00901
7,7181.82,1.46996,2.40119,1.67302,0.52043,0.35382,0.36712,0.25251,1.31965,7.75552,1.47999,0.008812,0.008812,0.008812
8,8198.89,1.4359,2.33377,1.65509,0.47163,0.38043,0.37767,0.26456,1.27471,8.34271,1.45368,0.008614,0.008614,0.008614
9,9216.01,1.41672,2.27765,1.6347,0.47943,0.39292,0.39211,0.27283,1.24923,7.85743,1.41376,0.008416,0.008416,0.008416
10,10234.1,1.403,2.22889,1.61404,0.51864,0.39451,0.40803,0.29054,1.23588,7.61038,1.39954,0.008218,0.008218,0.008218
11,11250.6,1.38215,2.17896,1.59547,0.51924,0.41934,0.42547,0.30333,1.2212,6.14301,1.38802,0.00802,0.00802,0.00802
12,12265.6,1.36224,2.1343,1.57836,0.49866,0.42832,0.43621,0.3124,1.19802,6.97101,1.36156,0.007822,0.007822,0.007822
13,13283,1.35108,2.11863,1.57247,0.5069,0.42816,0.44656,0.32142,1.18049,6.58253,1.34659,0.007624,0.007624,0.007624
14,14297.5,1.33341,2.06577,1.55157,0.51673,0.44033,0.45325,0.32608,1.1665,5.89945,1.3348,0.007426,0.007426,0.007426
15,15312.8,1.32201,2.03338,1.54533,0.52147,0.45002,0.46445,0.33695,1.14765,6.35436,1.30333,0.007228,0.007228,0.007228
16,16329.3,1.31189,2.00449,1.53289,0.52947,0.46052,0.47397,0.34528,1.13766,6.09706,1.30371,0.00703,0.00703,0.00703
17,17347.7,1.30601,1.97494,1.52711,0.51417,0.46312,0.47861,0.34773,1.12721,6.44465,1.28801,0.006832,0.006832,0.006832
18,18365.2,1.29467,1.94974,1.51746,0.54886,0.45838,0.48685,0.35402,1.11921,5.81753,1.28443,0.006634,0.006634,0.006634
